name,latitude,longitude,free_bikes,empty_slots
Cathcart / McGill College,45.501187681489775,-73.57045487814501,0,27
de la Côte St-Paul / St-Ambroise,45.467665653865964,-73.59391784324544,16,8
Jacques-Casault / Christophe-Colomb,45.551961779348346,-73.6303174495697,6,10
Garnier / Beaubien,45.54144823434163,-73.59839379787445,1,11
de Maisonneuve / Fullum,45.52797141659334,-73.54948371648788,1,16
Hamel / Sauriol,45.56157008176612,-73.65338176488876,11,4
Parc Henri-Julien (Legendre / Henri-Julien),45.546128338386644,-73.64650368695946,5,14
Ontario / Ville-Marie,45.56001959585449,-73.534934520776,11,8
Ball / Bloomfield,45.529996997063385,-73.63287091255188,6,4
Parc Villeray (Christophe-Colomb / Jarry),45.548513207676116,-73.62365484237671,2,13
Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,1,14
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,8,15
Robert-Bourassa / St-Maurice,45.49837045828952,-73.56055587530136,1,21
St-Antoine / Jean-Paul Riopelle,45.502939709023714,-73.56064036488532,2,18
Complexe sportif Claude-Robillard (Émile-Journault),45.55358456339093,-73.6383855342865,15,7
Villeray / de Normanville,45.54718706660108,-73.6184298992157,6,17
15e avenue / Laurier,45.55331992800521,-73.56932803988457,11,13
de la Commune / Berri,45.51086,-73.54983,41,27
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,16,28
CHSLD Robert Cliche (de Bellechasse / 16e avenue),45.557568,-73.579191,12,2
St-Jacques / des Seigneurs,45.489185716082275,-73.57190027832984,15,8
Richmond / des Bassins,45.48752158511353,-73.56500297784805,10,20
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,26,55
St-Antoine / de la Montagne,45.495369835210354,-73.56859177350998,7,11
Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,12,4
Métro Mont-Royal (Utilités publiques / Rivard),45.52423612093815,-73.58155220746994,8,35
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,16,26
Atwater / Greene,45.480495143306044,-73.57782661914825,22,3
Georges-Vanier / Notre-Dame,45.485047979822774,-73.5719633102417,16,2
de la Commune / King,45.49750375338383,-73.55284452438353,1,86
Smith / Peel,45.49276061084002,-73.55641052126883,5,13
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,3,18
des Pins / St-Laurent,45.51522812881499,-73.5750961303711,23,2
Émile-Duployé / Sherbrooke,45.52719536319051,-73.5645255446434,15,7
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,12,30
Complexe Desjardins (St-Urbain / René-Lévesque),45.50788520688478,-73.56315059590997,9,29
BIXI K5,45.530297633587914,-73.60139787197113,1,12
Ste-Catherine / Union,45.50370387789841,-73.56941521167755,12,21
Place du Canada (Peel / des Canadiens-de-Montréal),45.497795545133336,-73.56825113296509,1,25
Aylwin / Ontario,45.544290485374304,-73.54523241519928,24,3
Molson / William-Tremblay,45.541602844435374,-73.56496073305605,6,23
St-Jacques / Richmond,45.4906636488045,-73.57080727815628,19,4
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,16,7
Fabrik8 (Waverly / Jean-Talon),45.53330725719417,-73.62082242965698,1,14
Ottawa / William,45.48972725318433,-73.56406286358833,13,1
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.51401222645779,-73.56598667800426,13,0
de Gaspé / Marmier,45.529668174024685,-73.60166944563389,5,16
Boyer / Rosemont,45.53409866804061,-73.59553456306458,3,25
Laurier / de Bordeaux,45.53725128371284,-73.57918381690979,4,19
Métro Rosemont (de St-Vallier / Rosemont),45.531921043052655,-73.59804779291153,1,22
Boyer / Beaubien,45.537041,-73.602026,10,15
de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749,15,3
Boyer / Bélanger,45.54006,-73.60897,5,17
de Lanaudière / Bélanger,45.54365085053057,-73.60565051436424,9,13
de la Gauchetière / Robert-Bourassa,45.50064338023683,-73.5654079914093,15,11
Mozart / Waverly,45.5315236502754,-73.61701235175133,6,9
Aylmer / Ste-Catherine,45.50434678685089,-73.56894850730896,11,16
Hutchison / Beaubien,45.52605851018324,-73.61296892166138,1,23
Christophe-Colomb / St-Joseph,45.53036486555959,-73.58439266681671,13,10
Métro Fabre (Fabre / Jean-Talon),45.54667895468375,-73.60795050859451,4,11
Jeanne-Mance / Laurier,45.52027633320609,-73.59497621666378,9,12
de Gaspé / Fairmount,45.52557815939422,-73.59285570681095,0,22
Henri-Julien / du Carmel,45.52795093787009,-73.59502326697111,0,23
de l'Hôtel-de-Ville / Villeneuve,45.52348082760688,-73.58732756238169,8,15
Hélène-Baillargeon / St-Denis,45.52974,-73.59527,4,15
Vallières / St-Laurent,45.518967223320054,-73.5836161673069,9,14
Hutchison / Van Horne,45.52497612960628,-73.61066222190857,3,16
Waverly / Bernard,45.52562443297396,-73.60413372516632,4,19
de St-Vallier / St-Zotique,45.536434338630336,-73.60783427975548,10,9
des Pins / Hutchison,45.510800289485616,-73.57822090387344,11,12
Chambord / Gilford,45.53149589691095,-73.58106877662067,3,16
Maguire / St-Laurent,45.524628485592636,-73.5958108305931,2,21
Gilford / des Érables,45.53728040418993,-73.57534691691399,0,18
de Bordeaux / Rachel,45.53207532297607,-73.56769983980485,19,1
Marquette / du Mont-Royal,45.53221791147474,-73.57543140649796,12,10
Marquette / Laurier,45.53543,-73.5822,6,21
Gilford / de Brébeuf,45.530870247773066,-73.58155757188797,3,20
Marquette / Rachel,45.52983801723605,-73.5703244805336,13,0
St-André / Cherrier,45.52051578783967,-73.567695915699,10,14
Messier / du Mont-Royal,45.53711414,-73.5710031,27,6
St-Dominique / Napoléon,45.51666442219882,-73.57722043991089,21,1
de l'Esplanade / Villeneuve,45.51943184213857,-73.59095953859651,10,7
Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951263,9,13
Poupart / Ontario,45.531836726498305,-73.55348825454712,6,13
Logan / de Champlain,45.5231943285584,-73.55584256350994,6,13
Parc Baldwin (Chapleau / Sherbrooke),45.53536352346638,-73.56201391202376,0,37
Jean Langlois / Fullum,45.526499983000186,-73.54575277422555,5,26
Fullum / Marie-Anne,45.53650541861215,-73.56803923845291,19,7
Montcalm / Ontario,45.52110494530867,-73.56229394674301,19,1
de Mentana / Marie-Anne,45.526026565221414,-73.57785880565643,3,22
Durocher / Beaumont,45.52799772330074,-73.61919969320297,4,14
Métro Beaudry (Beaudry / Ste-Catherine),45.51888453178292,-73.55593845248222,15,8
Parc Joseph-Robin (18e avenue / Everett),45.56481129244175,-73.59580412507057,19,0
de l'Hotel-de-Ville / Ontario,45.51374520222444,-73.56666326522826,14,12
Beaudry / Sherbrooke,45.52303493310712,-73.56539458036421,4,23
St-André / Ste-Catherine,45.516297540849614,-73.55801045894623,9,17
de l'Hôtel-de-Ville / Sherbrooke,45.514524730294404,-73.56835573911665,1,24
Marie-Anne / St-Hubert,45.5246829812827,-73.5788968205452,4,17
du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,15,6
de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113,22,9
St-Hubert / Duluth,45.522425652788634,-73.57418417930603,11,12
des Récollets / McGill,45.5008764952487,-73.55900555849075,1,22
Parc Hilda-Ramacière (de Bullion / Prince-Arthur),45.51562131982338,-73.57212960720062,3,15
du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309601,5,17
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,10,30
St-Alexandre / Ste-Catherine,45.50527354034462,-73.5674786567688,6,19
Basile-Routhier / Chabanel,45.549846830745,-73.64767402410507,11,8
Maguire / Henri-Julien,45.527041096087785,-73.59347056655677,0,18
Clark / Prince-Arthur,45.513342512307055,-73.57301607728004,7,23
de St-Firmin / Fleury,45.570624722078364,-73.6517858505249,6,13
Francis / Fleury,45.56387237463668,-73.6555677652359,7,9
de Chateaubriand / Jarry,45.54588672296563,-73.62673670053482,7,8
Parc Champdoré (Champdoré / de Lille),45.5692509593831,-73.63642623429769,6,9
du Mont-Royal / Augustin-Frigon,45.54355786336148,-73.56780052185059,7,12
Ernest-Gendreau / du Mont-Royal,45.549713734001415,-73.56384828686714,19,4
Everett / Garnier,45.54758153109644,-73.61220851540565,0,14
8e avenue / Dandurand,45.550113551561694,-73.5772217810154,12,6
Berri / Cherrier,45.519266156911335,-73.5692971944809,20,19
Parc Lalancette (de Rouen / Valois),45.54814504700217,-73.5471260547638,11,9
Rousselot / Jarry,45.55081979211847,-73.62088680267334,9,5
Henri-Julien / de Castelnau,45.53789110878484,-73.6182153224945,8,14
1ère  avenue / St-Zotique,45.551937362101,-73.59392791986465,10,3
Duluth  / St-Denis,45.52062760607925,-73.57594907283782,4,11
St-Nicolas / Place d'Youville,45.501966859101564,-73.55515256524086,2,20
