Name,Rating,Address,OriginalLatitude,OriginalLongitude,BusinessLatitude,BusinessLongitude
Mai Xiang Yuan,4.0,"1082 Boulevard Saint-Laurent, Montreal, QC H2Z 1J5, Canada",45.516926210319546,-73.56425732374191,45.50831,-73.560778
Arepera,4.4,"73 Rue Prince Arthur E, Montreal, QC H2X 1B4, Canada",45.516926210319546,-73.56425732374191,45.514992,-73.572048
Au Pied de Cochon,4.2,"536 Avenue Duluth E, Montreal, QC H2L 1A9, Canada",45.516926210319546,-73.56425732374191,45.522169,-73.57445
Resto Végo,4.0,"1720 Rue Saint-Denis, Montreal, QC H2X 3K6, Canada",45.516926210319546,-73.56425732374191,45.515505,-73.564665
Palme,4.5,"1487 Rue Sainte-Catherine E, Montreal, QC H2L 2H9, Canada",45.516926210319546,-73.56425732374191,45.52111,-73.55408
Alejandro,4.9,"1481 Rue Amherst, Montreal, QC H2L 3L2, Canada",45.516926210319546,-73.56425732374191,45.51813,-73.55809
Acajou Br,4.1,"3425A Rue St-Denis, Montreal, QC H2X 3L1, Canada",45.516926210319546,-73.56425732374191,45.51743,-73.56797
Café Saigon,3.9,"1280 Rue Saint-André, Montreal, QC H2L 3S9, Canada",45.516926210319546,-73.56425732374191,45.5159499,-73.55766
La Garde Partagée,4.0,"71 Rue Sainte-Catherine E, Montreal, QC H2X 1K5, Canada",45.516926210319546,-73.56425732374191,45.510786,-73.563329
Bagatelle,4.2,"4323 Rue Ontario E, Montreal, QC H1V 1K5, Canada",45.55321884238814,-73.53978216648102,45.5528219,-73.5396242
Hélicoptère,4.6,"4255 Rue Ontario E, Montreal, QC H1V 1K4, Canada",45.55321884238814,-73.53978216648102,45.55205,-73.54045
Poutine Centrale,4.3,"3971 Rue Hochelaga, Montreal, QC H1W 1K2, Canada",45.55321884238814,-73.53978216648102,45.5514101,-73.5491315
Hélico,4.5,"2009 Avenue de la Salle, Montreal, QC H1V 2K5, Canada",45.55321884238814,-73.53978216648102,45.552108,-73.5404686
Heirloom,4.2,"3991 Rue Ontario E, Montreal, QC H1W 1T1, Canada",45.55321884238814,-73.53978216648102,45.549369,-73.541973
État-Major,4.3,"4005 Rue Ontario E, Montreal, QC H1W, Canada",45.55321884238814,-73.53978216648102,45.5494528512321,-73.5419670975392
Le Trèfle,3.8,"3971 Rue Ontario E, Montreal, QC H1W 1T1, Canada",45.55321884238814,-73.53978216648102,45.5490596,-73.5420783
Le Valois,4.0,"25 Place Simon Valois, Montreal, QC H1W 0A6, Canada",45.55321884238814,-73.53978216648102,45.5475294,-73.5433995
Canard Café,4.1,"4299 Ontario Street East, Montreal, QC H1V 1K4, Canada",45.55321884238814,-73.53978216648102,45.55247,-73.54006
Fusion Express,4.6,"3974 Avenue Pierre-De Coubertin, Montreal, QC H1W 1E7, Canada",45.55321884238814,-73.53978216648102,45.552549,-73.552148
Madame Smith,3.6,"4061 Rue Ontario E, Montreal, QC H1W 1T3, Canada",45.55321884238814,-73.53978216648102,45.550075,-73.541499
L'Olive Noire,4.1,"4271 Rue Ontario Est, Montreal, QC H1V 1K4, Canada",45.55321884238814,-73.53978216648102,45.5521580560667,-73.5401841625571
Brasserie Ninety Nine,4.0,"4240 Hochelaga Rue, Montreal, QC H1V 1B7, Canada",45.55321884238814,-73.53978216648102,45.55379,-73.54712
Piri Piri Hochelaga,4.3,"3753 Rue Ontario E, Montreal, QC H1W 1S3, Canada",45.55321884238814,-73.53978216648102,45.5467911,-73.5440216
Arrêt de Bus,5.0,"4731 Sainte-Catherine E, Montreal, QC H1V 1Z3, Canada",45.55321884238814,-73.53978216648102,45.5548624361359,-73.5314400252074
Les Jardineries,5.0,"4115 Avenue Pierre de Coubertin, L'Esplanade du Parc Olympique, Montreal, QC H1V 3P1, Canada",45.55321884238814,-73.53978216648102,45.5540681965623,-73.5519362613559
Le Flamant,4.4,"4043 Rue Ontario E, Montreal, QC H1W 1T3, Canada",45.55321884238814,-73.53978216648102,45.5499643,-73.5416386
Frères,5.0,"3892 Rue Ontario E, Montreal, QC H1W 1S6, Canada",45.55321884238814,-73.53978216648102,45.548483,-73.542491
Le Blind Pig,3.4,"3890 Rue Ontario E, Montreal, QC H1W 1S6, Canada",45.55321884238814,-73.53978216648102,45.54815,-73.54242
L'Oeufrier,3.6,"4060 Rue Ontario Saint E, Montreal, QC H1W 1T2, Canada",45.55321884238814,-73.53978216648102,45.550031,-73.541124
Cabotins,4.1,"4821 Rue Sainte-Catherine E, Montreal, QC H1V 1Z7, Canada",45.55321884238814,-73.53978216648102,45.55612,-73.53093
Anticafé,4.0,"3989 Rue Ontario E, Montreal, QC H1W 1T1, Canada",45.55321884238814,-73.53978216648102,45.549309,-73.542121
Gerry's Delicatessen,3.5,"3982 Rue Ontario E, Montreal, QC H1W 1S9, Canada",45.55321884238814,-73.53978216648102,45.549282,-73.541514
La Pataterie,4.1,"3860 Rue Ontario E, Montreal, QC H1W 1S4, Canada",45.55321884238814,-73.53978216648102,45.54775,-73.54275
Marché Tropical - Casse-Croûte Créole,5.0,"4257 Rue Ontario Est, Montreal, QC H1V 1K4, Canada",45.55321884238814,-73.53978216648102,45.55205,-73.54045
Atomic Café,4.1,"3606 Rue Ontario E, Montreal, QC H1W 1R7, Canada",45.55321884238814,-73.53978216648102,45.5450727523537,-73.5445697632294
Arhoma,4.5,"15 Place Simon-Valois, Montreal, QC H1W 1S4, Canada",45.55321884238814,-73.53978216648102,45.54771,-73.54398
Les Canailles,3.7,"3854 Rue Ontario E, Montreal, QC H1W 1S4, Canada",45.55321884238814,-73.53978216648102,45.5477104,-73.5429077
