Bike Station Name,Latitude,Longitude,Free_Bikes,Empty_Slots,POI Name,Rating,Address,POI Count,Average Rating
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Vua,4.0,"1579 Rue Saint-Denis, Montreal, QC H2X 3K3, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Pizzeria Dei Compari,4.2,"1668 Rue Saint-Denis, Montreal, QC H2X 3K6, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Joséphine,4.4,"4007 Rue Saint-Denis, Montreal, QC H2W 2M4, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Mai Xiang Yuan,4.0,"1082 Boulevard Saint-Laurent, Montreal, QC H2Z 1J5, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,En Couleur,4.7,"1212 Boulevard de Maisonneuve E, Montreal, QC H2L 1Z9, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Le Mousso,4.5,"1023 Rue Ontario E, Montreal, QC H2L 1P8, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Café Saigon,3.9,"1280 Rue Saint-André, Montreal, QC H2L 3S9, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Kasumi,4.2,"1429 Rue Amherst, Montreal, QC H2L 3L2, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Onoir,4.4,"124 Rue Prince Arthur E, Montreal, QC H2X 1B5, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Au Pied de Cochon,4.2,"536 Avenue Duluth E, Montreal, QC H2L 1A9, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Mia Thai Cuisine,4.2,"1743 Rue Saint-Denis, Montreal, QC H2X 3K4, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Alejandro,4.9,"1481 Rue Amherst, Montreal, QC H2L 3L2, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Arepera,4.4,"73 Rue Prince Arthur E, Montreal, QC H2X 1B4, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Resto Végo,4.0,"1720 Rue Saint-Denis, Montreal, QC H2X 3K6, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,La Garde Partagée,4.0,"71 Rue Sainte-Catherine E, Montreal, QC H2X 1K5, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Le Central,4.4,"30 Rue Sainte-Catherine O, Montreal, QC H2X 3V4, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Palme,4.5,"1487 Rue Sainte-Catherine E, Montreal, QC H2L 2H9, Canada",50,4.364
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3,Lily's,5.0,"1371 Rue Sainte-Catherine E, Montreal, QC H2L 2H7, Canada",50,4.364
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Bagatelle,4.2,"4323 Rue Ontario E, Montreal, QC H1V 1K5, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Hélicoptère,4.6,"4255 Rue Ontario E, Montreal, QC H1V 1K4, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Poutine Centrale,4.3,"3971 Rue Hochelaga, Montreal, QC H1W 1K2, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Heirloom,4.2,"3991 Rue Ontario E, Montreal, QC H1W 1T1, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,État-Major,4.3,"4005 Rue Ontario E, Montreal, QC H1W, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Hélico,4.5,"2009 Avenue de la Salle, Montreal, QC H1V 2K5, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Le Trèfle,3.8,"3971 Rue Ontario E, Montreal, QC H1W 1T1, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Le Valois,4.0,"25 Place Simon Valois, Montreal, QC H1W 0A6, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Canard Café,4.1,"4299 Ontario Street East, Montreal, QC H1V 1K4, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Fusion Express,4.6,"3974 Avenue Pierre-De Coubertin, Montreal, QC H1W 1E7, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Madame Smith,3.6,"4061 Rue Ontario E, Montreal, QC H1W 1T3, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,L'Olive Noire,4.1,"4271 Rue Ontario Est, Montreal, QC H1V 1K4, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Brasserie Ninety Nine,4.0,"4240 Hochelaga Rue, Montreal, QC H1V 1B7, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Piri Piri Hochelaga,4.3,"3753 Rue Ontario E, Montreal, QC H1W 1S3, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Arrêt de Bus,5.0,"4731 Sainte-Catherine E, Montreal, QC H1V 1Z3, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Les Jardineries,5.0,"4115 Avenue Pierre de Coubertin, L'Esplanade du Parc Olympique, Montreal, QC H1V 3P1, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Le Flamant,4.4,"4043 Rue Ontario E, Montreal, QC H1W 1T3, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Frères,5.0,"3892 Rue Ontario E, Montreal, QC H1W 1S6, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Le Blind Pig,3.4,"3890 Rue Ontario E, Montreal, QC H1W 1S6, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Cabotins,4.1,"4821 Rue Sainte-Catherine E, Montreal, QC H1V 1Z7, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Anticafé,4.0,"3989 Rue Ontario E, Montreal, QC H1W 1T1, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,L'Oeufrier,3.6,"4060 Rue Ontario Saint E, Montreal, QC H1W 1T2, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,Gerry's Delicatessen,3.5,"3982 Rue Ontario E, Montreal, QC H1W 1S9, Canada",50,3.736
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8,La Pataterie,4.1,"3860 Rue Ontario E, Montreal, QC H1W 1S4, Canada",50,3.736
